Product name,short description,Full description,Category,Approx price per unit,Origin,Certifications
Ashwagandha Powder,Adaptogenic herb for stress relief,Ashwagandha (Withania somnifera) is a renowned Ayurvedic herb used to reduce stress and support immune function.    ,Ayurvedic    ,336 per kg,India,"GMP, AYUSH Certified"
Turmeric Powder,Anti-inflammatory spice,"Turmeric (Curcuma longa) powder is rich in curcumin, offering anti-inflammatory, antioxidant, and digestive benefits.",Herbal,168 per kg,India,"Organic, GMP, ISO Certified"
Neem Oil,Natural pesticide and skincare oil,"Neem oil from Azadirachta indica has antibacterial, antifungal properties, used in Ayurveda for skin conditions, hair care, and as a pesticide.",Ayurvedic,210 per liter,India,"Organic, GMP, Halal Certified"
Ginger Powder,Digestive aid and anti-nausea herb,"Ginger (Zingiber officinale) powder aids digestion, reduces nausea, and provides anti-inflammatory effects, used for colds and arthritis.",Herbal,420 per kg,India,"Organic, GMP, Kosher Certified"
Aloe Vera Gel,Soothing gel for skin and digestion,"Aloe vera gel is extracted from the plant's leaves, promoting skin healing, hydration, and digestive health in Ayurvedic practices.",Herbal,147 per kg,India,"Organic, GMP, ISO Certified"
Tulsi Dried Leaves,Immunity booster and stress reliever,"Tulsi (Ocimum sanctum), or Holy Basil, is sacred in Ayurveda for enhancing immunity, respiratory health, and reducing stress.",Ayurvedic,168 per kg,India,"Organic, GMP, AYUSH Certified"
Brahmi Powder,Brain tonic for memory enhancement,"Brahmi (Bacopa monnieri) powder improves cognitive function, memory, and reduces anxiety, a key herb in Ayurvedic neurology.",Ayurvedic,113.4 per kg,India,"Organic, GMP, Halal Certified"
Shatavari Powder,Women's health supporter,"Shatavari (Asparagus racemosus) powder supports female reproductive health, hormonal balance, and vitality in Ayurvedic tradition.",Ayurvedic,315 per kg,India,"Organic, GMP, ISO Certified"
Triphala Powder,Digestive cleanser and detoxifier,"Triphala powder is a blend of Amla, Haritaki, and Bibhitaki fruits, used in Ayurveda for gentle detoxification, improved digestion, and rejuvenation.",Ayurvedic,268.8 per kg,India,"Organic, GMP, AYUSH Certified"
Sandalwood Essential Oil,Calming aromatic oil for skin and mind,"Sandalwood (Santalum album) essential oil is prized in Ayurveda for its soothing effects on the mind, skin healing properties, and use in aromatherapy.",Herbal,67200 per kg,India,"Organic, GMP, ISO Certified"
Amla Powder,Vitamin C rich immunity booster,Amla (Emblica officinalis) is a superfruit in Ayurveda rich in vitamin C and antioxidants supporting immunity digestion hair and skin health. Exported as powder for supplements and cosmetics.,Ayurvedic,200 per kg,India,"Organic, GMP, AYUSH Certified"
Moringa Powder,Nutrient-dense superfood,Moringa (Moringa oleifera) powder from leaves is packed with vitamins minerals and proteins; used for nutrition energy boost and detoxification in herbal practices.,Herbal,400 per kg,India,"Organic, GMP, ISO Certified"
Giloy Powder,Immunity enhancer,Giloy (Tinospora cordifolia) stem powder known as Guduchi	boosts immunity	detoxifies	and treats fever and diabetes in Ayurveda.,Ayurvedic,80 per kg,India,"Organic, GMP, AYUSH Certified"
Saffron Threads,Premium spice for health and flavor,Saffron (Crocus sativus) stigmas are antioxidant-rich used in Ayurveda for mood enhancement	skin health	and digestion; a high-value export item.,Herbal,120000 per kg,India,"Organic, GMP, Halal Certified"
Fenugreek Powder,Digestive and blood sugar regulator,Fenugreek (Trigonella foenum-graecum) seed powder aids digestion controls blood sugar	and supports lactation in herbal medicine.,Herbal,80 per kg,India,"Organic, GMP, Kosher Certified"
Arjuna Powder,Heart health tonic,Arjuna (Terminalia arjuna) bark powder supports cardiovascular health cholesterol management	and blood pressure in Ayurveda.,Ayurvedic,75 per kg,India,"Organic, GMP, AYUSH Certified"
Guggul Resin,Cholesterol manager,Guggul (Commiphora mukul) resin is used for weight loss cholesterol reduction	and anti-inflammatory effects in Ayurvedic formulations.,Ayurvedic,500 per kg,India,"Organic, GMP, ISO Certified"
Boswellia Serrata Extract,Joint support resin,Boswellia (Boswellia serrata) extract also known as Shallaki	reduces inflammation and supports joint health and arthritis in Ayurveda.,Ayurvedic,1500 per kg,India,"Organic, GMP, Halal Certified"
Licorice Root Powder,Soothing herb for throat and digestion,Licorice (Glycyrrhiza glabra) root powder calms coughs aids digestion	and supports adrenal function in herbal traditions.,Herbal,150 per kg,India,"Organic, GMP, Kosher Certified"
Peppermint Essential Oil,Cooling oil for digestion and aroma,Peppermint (Mentha piperita) essential oil relieves IBS headaches	and is used in aromatherapy and cosmetics.,Herbal,3200 per liter,India,"Organic, GMP, ISO Certified"
Shilajit Resin,Natural vitality booster,Shilajit is a mineral-rich resin from the Himalayas used in Ayurveda to enhance energy	stamina	and cognitive function; popular in supplements for vitality and anti-aging.,Ayurvedic,2500 per kg,India,"Organic, GMP, AYUSH Certified"
Bhringraj Powder,Hair growth promoter,Bhringraj (Eclipta alba) powder is an Ayurvedic herb used for hair growth preventing hair loss	and improving scalp health; widely exported for hair oils and supplements.,Ayurvedic,150 per kg,India,"Organic, GMP, ISO Certified"
Gotu Kola Powder,Cognitive and skin health enhancer,Gotu Kola (Centella asiatica) powder supports brain function reduces anxiety	and promotes skin healing in Ayurveda; used in supplements and skincare products.,Ayurvedic,200 per kg,India,"Organic, GMP, Halal Certified"
Lemongrass Essential Oil,Refreshing oil for aroma and digestion,Lemongrass (Cymbopogon citratus) essential oil is used in Ayurveda for its calming digestive	and anti-inflammatory properties; popular in aromatherapy and cosmetics.,Herbal,1800 per liter,India,"Organic, GMP, ISO Certified"
